ID,Species,Group,Group_As_On_Fig2,Source,Proportion_Heterozygous,PC1,PC2,PC3,PC4,PC5,PC6
INB_101LFY/LFY_(A632_X_M16_S5),Z. mays,SS,SS,Qiu et al. 2021,0.02814,0.0169967,0.0322318,-0.00664562,0.00864881,-0.009188,-0.029785
I_205,Z. mays,Mixed,Other,Wang et al. 2020,0.01816,0.0163398,0.0113057,-0.0166572,0.0117886,0.0126472,0.00325314
Ia453,Z. mays,Sweet corn,Other,This Study,0.02245,0.00172599,-0.0188938,0.011606,-0.00789681,-0.00420371,-0.0890502
Ia5125,Z. mays,Sweet corn,Other,Bukowski et al. 2018,0.02699,0.00649896,-0.00320327,0.00950094,-0.00615384,0.000258713,-0.060525
Ia5125B,Z. mays,Sweet corn,Other,This Study,0.02461,0.00457454,-0.0140066,0.00762239,-0.00487706,0.00205304,-0.0591676
Il101,Z. mays,Sweet corn,Other,Bukowski et al. 2018,0.02042,0.000608261,-0.0107803,0.0147579,-0.00646453,-0.00543414,-0.102061
Il14H,Z. mays,Sweet corn,Other,Bukowski et al. 2018,0.02595,0.00058657,-0.0130937,0.0149067,-0.00703849,-0.0022245,-0.0814412
Il778d,Z. mays,Sweet corn,Other,This Study,0.02327,0.00329006,-0.0158209,0.0160619,-0.00711205,0.0010849,-0.0643388
Il_101T,Z. mays,Sweet corn,Other,This Study,0.02278,-0.00108856,-0.0196908,0.0129393,-0.00612683,-0.00755077,-0.114691
J47,Z. mays,Mixed,Other,Qiu et al. 2021,0.03449,0.00578037,-0.0131032,0.00538936,-0.00782126,0.00133032,-0.0220161
J8606,Z. mays,Mixed,Other,Qiu et al. 2021,0.02932,0.0156288,-0.0259801,-0.0516377,0.0155673,0.00227188,0.024077
Ji53,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02582,0.00955119,-0.0155797,0.00917556,-0.0123254,-0.0212592,0.0047301
Ji533,Z. mays,SS,Huangzaosi (China),Wang et al. 2020,0.00352,0.0181853,0.0859306,0.0139802,0.00798087,-0.0164771,0.00565097
Ji63,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02458,0.0107232,-0.00586527,0.00482571,-0.00339375,0.00439074,-0.0130862
Ji842,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.26939,0.0116025,0.000733114,0.00795711,-0.00225986,-0.000284307,-0.000481181
Ji846,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.03485,0.0129533,-0.0267935,-0.00616192,-0.0208199,-0.0591403,0.0301474
Ji853,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02728,0.0159443,-0.0405472,-0.0218058,-0.0283695,-0.0922045,0.0486155
Ji876,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02591,0.0173957,0.0196046,-0.0030022,0.00128007,-0.0277369,-0.0362924
Jian1495a,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02484,0.00885717,-0.00757704,0.0131088,-0.00635224,-0.000912524,0.0208868
Jian1495b,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.0251,0.00870118,-0.00701993,0.0127042,-0.00603732,-0.00133861,0.0206238
Jing7,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02823,0.00596097,-0.015635,0.0251136,-0.0103665,0.0201278,0.0106115
K10,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02765,0.00656905,-0.0181755,0.0133648,-0.00957187,0.000392239,-0.0142617
K12,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02517,0.00785474,-0.0164793,0.0205136,-0.0132625,-0.0041606,0.00755075
K14,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02567,0.0122164,-0.0223974,-0.00149581,-0.0135821,-0.0294203,0.0383626
K148,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02154,0.0113879,-0.000720517,0.00862228,-0.00452587,0.00841063,0.00499926
K150,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03443,0.00665384,-0.0119017,-0.000248741,-0.00106137,0.00893353,-0.00102305
K155,Z. mays,Broad origin-public,Other,This Study,0.02313,0.00899851,-0.00946923,0.00919501,-0.00568015,0.000344378,-0.00999485
K201,Z. mays,Broad origin-public,Other,This Study,0.02,0.0114586,-0.00552319,0.00852187,-0.00493388,0.00373351,-0.00130374
K4,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02389,0.0123276,0.00166811,0.00795891,-0.00416554,0.00195233,0.0029209
K41,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02907,0.00881344,-0.0160474,0.000355014,-0.00380202,0.00504662,-0.0102723
K47,Z. mays,Popcorn,Other,Qiu et al. 2021,0.0357,0.00284674,-0.0199989,0.0038242,-0.00197482,0.0130167,-0.0278325
K55,Z. mays,Mixed,Other,Qiu et al. 2021,0.02849,0.00864554,-0.0151911,0.00447614,-0.00654195,0.00406694,0.000573265
K64,Z. mays,Mixed,Other,Bukowski et al. 2018,0.01968,0.0104442,0.00132798,0.0103028,-0.00395867,0.00579458,-0.00145202
KO679Y,Z. mays,Mixed,Other,This Study,0.02182,0.00885925,-0.0129395,0.014329,-0.0057988,0.0116848,0.00974728
KUNG-70,Z. mays,Mixed,Other,Qiu et al. 2021,0.02905,0.0103411,-0.0136953,0.00280914,-0.00627111,0.0065687,-0.000389098
Ken44,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02612,0.00976552,-0.0128644,0.00273296,-0.00075134,0.00772096,-0.0116325
Ki11,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02241,0.00459199,-0.0102963,0.0293823,-0.0072948,0.0265358,0.0391458
Ki14,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02159,0.00607283,-0.00538228,0.0276988,-0.00817841,0.0253762,0.0365493
Ki2021,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02101,0.00535393,-0.00444714,0.0280223,-0.00753404,0.0277473,0.0399293
Ki21,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02403,0.00786639,-0.0193345,0.0144233,-0.012837,-0.00981099,0.0456621
Ki3,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02427,0.00528083,-0.00791662,0.029807,-0.00646626,0.0297639,0.0399685
Ki43,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02475,0.00454804,-0.00661139,0.0288864,-0.00821643,0.0254391,0.0348876
Ki44,Z. mays,Tropical,Tropical,Bukowski et al. 2018,0.02012,0.00433488,-0.0036254,0.0278434,-0.00772141,0.0197103,0.0325585
Ky21,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02553,0.0103494,0.00168694,0.00975962,-0.0025612,0.00892638,-0.00246989
Ky226,Z. mays,Mixed,Other,Bukowski et al. 2018,0.01755,0.00878949,0.00287728,0.0188443,-0.00567239,0.00910501,0.0190244
Ky228,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02496,0.00801207,-0.00198716,0.00783934,-0.0059758,0.00671072,-0.000434669
L222,Z. mays,Mixed,Other,This Study,0.02045,0.0167013,-0.00347321,-0.00986742,-0.0023818,-0.0266122,0.00594848
L317,Z. mays,Broad origin-public,Other,Bukowski et al. 2018,0.02029,0.00956814,-0.0044812,0.00623038,-0.0046446,0.00117075,-0.0242254
L578,Z. mays,Mixed,Other,Bukowski et al. 2018,0.03523,0.00725326,-0.00545158,0.013633,-0.00742887,0.013415,0.0176708
LD61,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.14959,0.0111712,-0.0108648,0.00933876,-0.0103876,-0.0165565,-0.00822825
LH1,Z. mays,SS,SS,Qiu et al. 2021,0.0341,0.017294,0.0140306,-0.0283824,0.0185601,-0.0022132,-0.017834
LH119,Z. mays,SS,SS,Qiu et al. 2021,0.09675,0.0185158,0.0609137,-0.00297393,0.0136108,-0.00680528,0.00176639
LH123HT,Z. mays,NSS,NSS,Qiu et al. 2021,0.02652,0.0181911,-0.0215186,-0.0226013,-0.0143459,-0.0579434,0.0262558
LH127,Z. mays,NSS,NSS,Qiu et al. 2021,0.0301,0.016046,-0.0251791,-0.0201358,-0.0173901,-0.0607805,0.0325254
LH128,Z. mays,NSS,NSS,Qiu et al. 2021,0.07227,0.014816,-0.00542925,-0.0162015,-0.0056776,-0.0446527,0.00692009
LH132,Z. mays,SS,SS,Qiu et al. 2021,0.00746,0.0183537,0.0841163,0.0111593,0.0101487,-0.0203042,0.00241432
LH143_(Maintainer),Z. mays,SS,SS,Qiu et al. 2021,0.02387,0.0185652,0.0494315,-0.00353054,0.0117746,-0.0112481,-0.0292618
LH145,Z. mays,SS,SS,Qiu et al. 2021,0.02363,0.0182435,0.0380047,-0.00452286,0.0129175,-0.006608,-0.0258738
LH146Ht,Z. mays,SS,SS,Qiu et al. 2021,0.01906,0.0183609,0.0621809,0.00112232,0.0120761,-0.00872894,-0.0112679
LH149,Z. mays,SS,SS,Qiu et al. 2021,0.00813,0.0165185,0.0733864,0.0140644,0.00487247,-0.00972866,0.00772064
LH150,Z. mays,Mixed,Other,Bukowski et al. 2018,0.0124,0.0137972,0.00707388,0.007766,-0.00541146,-0.0044309,0.0201807
LH156,Z. mays,NSS,NSS,Qiu et al. 2021,0.0258,0.0133187,-0.00892071,-0.00331208,-0.00421421,-0.0118085,-0.0156625
LH159,Z. mays,SS,SS,This Study,0.02053,0.0107266,-0.00897156,0.0103099,-0.00692362,-0.0018543,0.00713919
LH160,Z. mays,Mixed,Other,Bukowski et al. 2018,0.00756,0.0177913,0.0217391,0.00276481,-0.00477007,-0.0271633,0.00687548
LH162,Z. mays,Mixed,Other,Bukowski et al. 2018,0.00697,0.0145448,0.0154506,0.00513873,-0.00411628,-0.0152121,0.00211376
LH163,Z. mays,Mixed,Other,This Study,0.02029,0.0145967,0.00594817,-0.0106116,0.0100408,0.000715485,-0.0208225
LH164,Z. mays,IDT,IDT,This Study,0.0214,0.0159095,-0.0139255,-0.0452554,0.0268264,0.0315807,-0.00922853
LH165,Z. mays,NSS,NSS,Qiu et al. 2021,0.03446,0.0158521,-0.0285212,-0.0402386,0.000888305,-0.0263995,0.0268354
LH166,Z. mays,NSS,NSS,Qiu et al. 2021,0.10062,0.0165634,-0.0127485,-0.0381419,0.0142199,0.00686591,0.013893
LH167,Z. mays,NSS,NSS,This Study,0.02091,0.0160119,-0.0258495,-0.0230668,-0.0105412,-0.046168,0.0264115
LH168,Z. mays,NSS,NSS,Qiu et al. 2021,0.02935,0.0143837,-0.0162567,-0.0252258,0.00627393,0.00414187,0.00371666
LH169Ht,Z. mays,NSS,NSS,This Study,0.02096,0.0182506,-0.017746,-0.0306663,0.00400383,-0.0134276,0.0156224
LH172,Z. mays,Mixed,Other,Qiu et al. 2021,0.03292,0.0151273,-0.0224259,-0.0304587,0.00477275,-0.00645574,0.00693568
LH175,Z. mays,Mixed,Other,This Study,0.02089,0.0167799,-0.0103457,-0.0280324,0.0138726,0.0175986,0.00390563
LH181,Z. mays,NSS,NSS,Qiu et al. 2021,0.03016,0.017116,-0.0317053,-0.026754,-0.0182001,-0.0686665,0.0373954
LH183,Z. mays,NSS,NSS,This Study,0.02113,0.0174545,-0.0309129,-0.0196003,-0.0222181,-0.0774999,0.0421043
LH184,Z. mays,Mixed,Other,Qiu et al. 2021,0.03769,0.01261,-0.0286099,-0.0151494,-0.0164199,-0.0453305,0.0176257
LH185,Z. mays,NSS,NSS,Qiu et al. 2021,0.0297,0.0142078,-0.0378489,-0.027393,-0.0200957,-0.0757864,0.0118862
LH186,Z. mays,NSS,NSS,This Study,0.02449,0.0176132,-0.0311083,-0.0215893,-0.0219125,-0.0790546,0.0293725
LH188,Z. mays,NSS,NSS,This Study,0.02462,0.0150357,-0.0330353,-0.0162916,-0.0218781,-0.0687311,0.0332728
LH189Ht,Z. mays,NSS,NSS,This Study,0.18958,0.0163474,-0.0219806,-0.0154286,-0.0127429,-0.048141,0.00640365
LH190,Z. mays,SS,SS,Qiu et al. 2021,0.0085,0.0165202,0.0778432,0.0148933,0.00692106,-0.00952567,0.0108511
LH191,Z. mays,Mixed,Other,Qiu et al. 2021,0.01984,0.0194877,0.0486066,-0.00608003,0.00892708,-0.0274563,0.0010408
LH192,Z. mays,SS,SS,Qiu et al. 2021,0.01702,0.0155447,0.0629804,0.0119288,0.00635455,-0.00697908,0.0125077
LH193,Z. mays,SS,SS,Qiu et al. 2021,0.0093,0.0167404,0.074626,0.0125309,0.00903273,-0.0122827,-0.000151555
LH194,Z. mays,SS,SS,Qiu et al. 2021,0.01285,0.0171213,0.0608007,0.00146588,0.0111802,-0.00436424,0.013362
LH195,Z. mays,SS,SS,Qiu et al. 2021,0.01142,0.0193118,0.0687321,-0.00264742,0.0150418,-0.0124558,0.00517818
LH196,Z. mays,SS,SS,Bukowski et al. 2018,0.00134,0.0215215,0.0927974,0.0130046,0.0108222,-0.0151463,0.0122396
LH197,Z. mays,SS,SS,Qiu et al. 2021,0.01426,0.0180787,0.071929,0.00793508,0.00996572,-0.0146649,-0.00250661
LH198,Z. mays,SS,SS,Qiu et al. 2021,0.00904,0.0190337,0.0824088,0.0106903,0.00954285,-0.0114035,0.00680738
LH199,Z. mays,SS,SS,Qiu et al. 2021,0.01211,0.017484,0.0737161,0.00785675,0.0105341,-0.0163469,0.00150571
LH200,Z. mays,SS,SS,Qiu et al. 2021,0.0106,0.0189144,0.0718196,-0.00173333,0.0157717,-0.0115017,0.00397865
LH202,Z. mays,SS,SS,Qiu et al. 2021,0.00377,0.0174109,0.0828391,0.0148804,0.0065334,-0.0109394,0.012566
LH204,Z. mays,SS,SS,Qiu et al. 2021,0.01202,0.0193862,0.0717106,-0.000665403,0.0148307,-0.00373767,0.00847335
LH205,Z. mays,SS,SS,Qiu et al. 2021,0.00957,0.0188519,0.0815822,0.0108746,0.0104417,-0.014524,-0.000928678
LH206,Z. mays,SS,SS,Qiu et al. 2021,0.01504,0.0193965,0.0755306,0.00559731,0.0105837,-0.0119408,0.00213715
LH208,Z. mays,SS,SS,Qiu et al. 2021,0.02379,0.0191965,0.0582533,-0.00286549,0.0131534,-0.00552681,-0.00795293
LH209,Z. mays,SS,SS,Qiu et al. 2021,0.01125,0.0184479,0.084824,0.0106709,0.0120009,-0.0136697,0.00142343
LH210,Z. mays,NSS,NSS,This Study,0.01019,0.0151726,0.0581363,0.0147025,0.0047956,-0.00536706,0.0102146
LH211,Z. mays,NSS,NSS,Qiu et al. 2021,0.0319,0.0170421,-0.0281145,-0.0269076,-0.0171772,-0.0669797,0.0360287
LH212Ht,Z. mays,NSS,NSS,This Study,0.02129,0.0185923,-0.0172433,-0.019276,-0.0131648,-0.0547148,0.0253264
LH213,Z. mays,NSS,NSS,Qiu et al. 2021,0.03523,0.0176081,-0.0287854,-0.0278762,-0.0192185,-0.0749373,0.0370064
LH214,Z. mays,NSS,NSS,Qiu et al. 2021,0.02977,0.0178439,-0.0291094,-0.0283597,-0.0192185,-0.076062,0.0376043
LH215,Z. mays,NSS,NSS,Qiu et al. 2021,0.03533,0.012189,-0.0350217,-0.0213058,-0.0157647,-0.0580794,0.021575
LH216,Z. mays,NSS,NSS,Qiu et al. 2021,0.03143,0.0160773,-0.0425586,-0.0278187,-0.0294392,-0.0976576,0.0539819
LH217,Z. mays,NSS,NSS,This Study,0.20407,0.0149756,-0.0146354,-0.00646398,-0.0137202,-0.0461416,0.0103264
LH218,Z. mays,NSS,NSS,This Study,0.02257,0.0179563,-0.0351481,-0.0207491,-0.0240225,-0.0774762,0.0447642
LH220Ht,Z. mays,SS,SS,Bukowski et al. 2018,0.00362,0.0188436,0.0698766,0.00771089,0.0101277,-0.0107429,-0.00504302
LH222,Z. mays,SS,SS,Qiu et al. 2021,0.01817,0.0187302,0.0672324,0.00407732,0.0113765,-0.00979085,-0.00703994
LH223,Z. mays,SS,SS,Qiu et al. 2021,0.02752,0.0176703,0.0408499,-0.00767136,0.0129728,-0.00539417,-0.0272884
LH224,Z. mays,SS,SS,Qiu et al. 2021,0.0233,0.0191034,0.0540446,-0.00343356,0.0140152,-0.00692978,-0.0207339
LH225,Z. mays,SS,SS,This Study,0.01905,0.0182509,0.0298433,-0.00158718,0.0095165,-0.00223319,-0.0103828
LH227,Z. mays,SS,SS,Qiu et al. 2021,0.0185,0.0186719,0.0642249,0.00339485,0.0105012,-0.0149765,-0.0109027
LH231,Z. mays,SS,SS,This Study,0.00656,0.0183826,0.0788668,0.0122692,0.00867839,-0.0178382,0.00245359
LH250,Z. mays,NSS,NSS,This Study,0.02181,0.0148818,-0.0108467,-0.00200816,-0.0107406,-0.0272889,0.0270626
LH252,Z. mays,NSS,NSS,This Study,0.02435,0.0153022,-0.0269261,-0.015215,-0.0178896,-0.0630263,0.0199811
LH260,Z. mays,NSS,NSS,This Study,0.02561,0.0186181,-0.0202533,-0.029621,-0.00634154,-0.0509649,0.0446389
LH284,Z. mays,NSS,NSS,This Study,0.02224,0.0188629,-0.0205872,-0.0212345,-0.0153425,-0.0630635,0.0312415
LH295,Z. mays,NSS,NSS,Qiu et al. 2021,0.0308,0.0153036,-0.023258,-0.0479103,0.018903,0.0185027,0.00733979
LH299,Z. mays,Mixed,Other,This Study,0.02318,0.017111,-0.0179416,-0.0375413,0.0135151,0.00744328,0.0117085
LH38,Z. mays,NSS,NSS,Qiu et al. 2021,0.03273,0.0147894,-0.02894,-0.0208148,-0.0108305,-0.036136,-0.0146217
LH39,Z. mays,NSS,NSS,Bukowski et al. 2018,0.00962,0.0192787,-0.000331911,-0.00917034,-0.00593746,-0.0247257,0.00620706
LH51,Z. mays,NSS,NSS,Bukowski et al. 2018,0.00624,0.019251,-0.0102275,-0.0123189,-0.0211818,-0.0759073,0.0506687
LH52,Z. mays,NSS,NSS,Bukowski et al. 2018,0.00565,0.0188055,0.00673164,-0.0059707,-0.0158249,-0.0567386,0.034522
LH54,Z. mays,NSS,NSS,Qiu et al. 2021,0.03098,0.0160461,-0.0407275,-0.0258446,-0.0274108,-0.0885868,0.0479471
LH57,Z. mays,NSS,NSS,Qiu et al. 2021,0.03187,0.0135613,-0.041608,-0.0249128,-0.0245347,-0.0841703,0.0283928
LH59,Z. mays,NSS,NSS,Qiu et al. 2021,0.02919,0.0137068,-0.0411043,-0.0246633,-0.0255151,-0.0883614,0.0278142
LH60,Z. mays,NSS,NSS,Qiu et al. 2021,0.03138,0.0120973,-0.0333797,-0.0134708,-0.0191995,-0.0499682,0.0259242
LH61,Z. mays,NSS,NSS,Qiu et al. 2021,0.27586,0.0163448,-0.00343563,-0.0148963,-0.00834759,-0.0476067,0.0187211
LH65,Z. mays,NSS,NSS,Qiu et al. 2021,0.03083,0.0139977,-0.0394239,-0.022456,-0.0268198,-0.0812743,0.0463801
LH74,Z. mays,SS,SS,Qiu et al. 2021,0.0114,0.0188226,0.0794373,0.00753148,0.0128078,-0.0132875,-0.00741891
LH82,Z. mays,Mixed,Other,Qiu et al. 2021,0.02744,0.0147381,-0.0157206,-0.0364076,0.0142814,0.0168066,0.00564745
LH85,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02734,0.0097186,-0.0154792,-0.0065602,0.00153932,0.00815459,-0.0108859
LH93,Z. mays,Mixed,Other,Bukowski et al. 2018,0.00459,0.0152696,0.0114523,0.00578405,-0.00113088,-0.00384521,-0.00338724
LIBC_4,Z. mays,IDT,IDT,Qiu et al. 2021,0.03298,0.0174188,-0.0222764,-0.0712862,0.0373209,0.043754,0.00744033
LP1_NR_Ht,Z. mays,SS,SS,This Study,0.0172,0.0197892,0.0598024,0.00172714,0.015051,-0.0113503,-0.0288667
LP5,Z. mays,SS,SS,Qiu et al. 2021,0.00874,0.0156892,0.0687428,0.0137304,0.00459754,-0.0112662,0.00354106
LY16F,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02337,0.0117582,0.00788426,0.0108515,-0.00555289,-0.00272698,0.0131041
LY16M,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02352,0.0117566,0.00788164,0.0108364,-0.00555077,-0.00278639,0.0130588
L_127,Z. mays,IDT,IDT,Bukowski et al. 2018,0.00637,0.0195429,0.0223146,-0.0395895,0.0314923,0.0400074,0.0188071
L_135,Z. mays,IDT,IDT,Qiu et al. 2021,0.0288,0.0189819,-0.0203995,-0.0958042,0.0591974,0.078933,0.0130873
L_139,Z. mays,NSS,NSS,Qiu et al. 2021,0.02926,0.0171266,-0.0280504,-0.059234,0.021515,0.0158317,0.00927458
L_155,Z. mays,IDT,IDT,This Study,0.02068,0.0197628,-0.000622287,-0.0684104,0.0465841,0.0572327,-0.000958655
L_289,Z. mays,Mixed,Other,This Study,0.02233,0.00783293,-0.0147504,0.00378019,-0.0069103,-0.00531136,-0.0245877
Liao2202,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02611,0.0133434,-0.00102414,0.00835172,-0.00388178,-0.00107203,0.0113587
Liao9586,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02511,0.0139648,-0.00609426,0.00168923,-0.00952481,-0.0181022,0.0168565
Lo11,Z. mays,NA,Europe,Unterseer et al. 2014,0.02492,0.000572756,-0.0137611,0.0405822,-0.0116617,0.030917,-0.00162216
Longkang1,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.18027,0.0120471,-0.0190755,-0.00249784,-0.0111878,-0.0267483,0.0172622
Longkang11,Z. mays,NSS,Huangzaosi (China),Wang et al. 2020,0.02598,0.0151226,-0.0327782,-0.0121056,-0.0202872,-0.0522368,0.0362179
Lp215D,Z. mays,NSS,NSS,Qiu et al. 2021,0.03744,0.0155687,-0.0362094,-0.0252747,-0.022883,-0.0740087,0.033403
Luosu3,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02545,0.00756255,-0.00866637,0.0145321,-0.00675147,0.00880674,-0.0126969
Luyuan92,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02213,0.016476,0.0076255,-0.00944775,-0.0112462,-0.0561251,0.0221679
Lv10,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02679,0.0105357,-0.00860205,0.00351296,-0.00296033,0.00459462,-0.0100116
Lv28,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.0254,0.0102846,-0.0106884,0.00402882,-0.00206624,0.011434,-0.00602454
Lv9kuan,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.0246,0.00953078,-0.00492398,0.0147949,-0.00694429,0.0044565,0.000781368
Lx03_2,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02752,0.00520609,-0.0249326,0.026719,-0.0130638,0.0162585,0.00674063
Lx9801,Z. mays,Huangzaosi,Huangzaosi (China),Wang et al. 2020,0.02736,0.00406883,-0.0278833,0.0274776,-0.0146307,0.0194028,0.00631661
M14,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02937,0.0122563,-0.00998567,-0.00857836,-0.00058022,-0.00232418,-0.0184113
M162W,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02328,0.00752029,-0.0116934,0.0170751,-0.0079268,0.0117295,0.0128981
M37W,Z. mays,Mixed,Other,Bukowski et al. 2018,0.02108,0.00772083,-0.00560511,0.0216645,-0.00557788,0.0174795,0.0173476
M9,Z. mays,Mixed,Huangzaosi (China),Wang et al. 2020,0.02436,0.0151258,0.00375478,-0.00114155,-0.00407955,-0.0224293,-0.00247634
MBPM,Z. mays,Mixed,Other,Qiu et al. 2021,0.02959,0.0108525,-0.0161672,-0.00509274,-0.00977984,-0.0212255,-0.0147649
MBST,Z. mays,NSS,NSS,Qiu et al. 2021,0.03472,0.0145342,-0.0313948,-0.0206385,-0.013556,-0.0457745,-0.0111909
MBWZ,Z. mays,IDT,IDT,Qiu et al. 2021,0.03473,0.0152176,-0.0225707,-0.0534034,0.0235516,0.0255942,0.0154257
MEF156-55-2,Z. mays,Mixed,Other,Qiu et al. 2021,0.03591,0.00161154,-0.0217868,0.00318003,-0.00726717,-0.00201139,-0.0613107
ML606,Z. mays,NSS,NSS,Qiu et al. 2021,0.03301,0.0136639,-0.0259526,-0.0163023,-0.0109602,-0.0313646,-0.0124057
MM501D,Z. mays,NSS,NSS,Qiu et al. 2021,0.03437,0.0146301,-0.033016,-0.0177187,-0.0181122,-0.0544729,0.00473249
MO18W,Z. mays,Tropical,Tropical,Wang et al. 2020,0.01957,0.00561051,-0.00613769,0.0234124,-0.0059126,0.0212654,0.0228299
MQ305,Z. mays,IDT,IDT,Qiu et al. 2021,0.02886,0.0192746,0.000279558,-0.0676459,0.0439352,0.0489906,-0.00366048
MS106,Z. mays,Broad origin-public,Other,This Study,0.02154,0.0123254,-0.00724122,0.000459451,-0.00229584,-0.00289476,-0.0247329
MS116,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03079,0.00780298,-0.012746,-0.000383691,-0.00407951,-0.00345479,-0.0188675
MS12,Z. mays,Broad origin-public,Other,This Study,0.02136,0.0102655,-0.0130199,0.00278322,-0.000479294,0.00865936,-0.00641537
MS132,Z. mays,Mixed,Other,Qiu et al. 2021,0.03234,0.0109622,-0.013146,-0.0160239,0.00124271,-0.00210908,-0.0202773
MS1334,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03113,0.007011,-0.0168792,0.00204671,-0.00564277,0.00153912,-0.0117641
MS142,Z. mays,Broad origin-public,Other,This Study,0.04326,0.00892256,-0.010621,0.000459153,0.00265937,0.0129053,-0.0126024
MS153,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.0949,0.00914502,-0.0179092,0.00127758,-0.00715818,0.0016735,-0.00704503
MS200,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03518,0.00884845,-0.0155894,-0.00474207,-0.000463841,0.00528486,-0.0161687
MS211,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03005,0.00560057,-0.0139875,0.000496925,-0.00352818,0.000824262,-0.0301042
MS221,Z. mays,SS,SS,Qiu et al. 2021,0.02826,0.0167854,0.0352488,-0.0021175,0.00785996,-0.0198318,-0.0260461
MS222,Z. mays,SS,SS,This Study,0.01906,0.0181387,0.0385482,0.00126192,0.00853959,-0.0179192,-0.0240171
MS223,Z. mays,Broad origin-public,Other,This Study,0.02088,0.0115683,-0.0107815,-0.00080365,-0.00139435,-0.00109292,-0.0209295
MS224,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03183,0.0105898,-0.0107768,-0.00386881,-0.00547907,-0.0177859,-0.0309173
MS225,Z. mays,Mixed,Other,Qiu et al. 2021,0.08448,0.0101253,-0.0157082,-0.0045683,-0.00779863,-0.0187695,-0.0238665
MS226,Z. mays,Mixed,Other,Qiu et al. 2021,0.0312,0.0139826,0.00813528,-0.0138295,0.00919894,-0.00205119,-0.0194637
MS24A,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03296,0.00767052,-0.0177091,-0.00210414,-0.00157121,0.00509035,-0.0154298
MS67,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03926,0.0051998,-0.020476,0.00216984,-0.00691608,-0.00485401,-0.0395824
MS71,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.02994,0.00976943,-0.0118112,-0.00400121,-0.00260046,0.001617,-0.0127711
MS72,Z. mays,Broad origin-public,Other,Qiu et al. 2021,0.03101,0.00901936,-0.0116173,0.00278973,-0.00457868,-0.000679174,-0.0078919
Mo13,Z. mays,Broad origin-public,Other,This Study,0.02255,0.00944431,-0.0117572,0.0101358,-0.00600888,0.00588775,0.00613269
Mo15W,Z. mays,Landrace,Other,This Study,0.02961,0.0081787,-0.0140404,0.00969384,-0.00765869,0.0116672,0.0105984
Mo16W,Z. mays,Mixed,Other,This Study,0.02347,0.00890828,-0.0157385,0.00982949,-0.00509688,0.00836197,0.00844282
